QUEST_20150317_000001	กรุณาเลือกผู้ใช้ที่ต้องรับการอัพเดทเควส
QUEST_20150317_000162	ข้า  Zubeck  ขอทิ้งคำจารึกนี้ไว้{nl}แด่เกียรติแห่งการเป็นหัวขโมยที่ยิ่งใหญ่ที่สุดในประวัติศาสตร์  ข้าได้ท้าทายจอมเวทย์ผู้หนึ่ง 
QUEST_20150317_000163	แต่ข้าที่เป็นเพียงหัวขโมยอันต่ำต้อย  จะไปป่าวประกาศชัยชนะของตัวเองโดยที่ทำเพียงแค่ขโมยของบางอย่างจากนางเท่านั้นได้รึ?{nl}มันก็อาจจะเป็นไปได้  ถ้าเกิดว่าข้าสามารถปล้น Archmage ที่ยิ่งใหญ่ที่สุดจนหมดตัวโดยที่เขาไม่รู้ตัวได้อะนะ{nl}
QUEST_20150317_000164	แต่ไม่ ข้าทำแบบนั้นไม่ได้{nl}ข้าต้องการจะเป็นสุดยอดหัวขโมย ที่หนึ่งในประวัติศาสตร์ตลอดกาล ไม่ใช่แค่วันนี้พรุ่งนี้{nl}
QUEST_20150317_000165	ในที่สุด ข้าก็ค้นพบวิธีที่จะสามารถหลบรอดเข้าไปใน Mage Tower ได้{nl}การจะทำแบบนั้นได้บุคคลผู้นั้นจะต้องรวบรวมพลังเวทย์มนตร์ที่สถานที่จำเพาะแห่งหนึ่ง{nl}ทีนี้ ก็เหลือแค่ลงมือ
QUEST_20150317_000166	แล้วอุปกรณ์พิเศษของข้าก็จะทำงาน{nl}ถ้าเจ้าทำตามข้า เจ้าเองก็จะสามารถเข้าสู่ Mage Tower ได้เหมือนกัน{nl}
QUEST_20150317_000167	จากนั้น เจ้าก็จะได้สอนบทเรียนให้เจ้าพวกนักมายากลงี่เง่าพวกนั้นมันได้รู้ซะบ้าง ฮ่าๆๆๆๆ!
QUEST_20150317_000168	Commanding Monument
QUEST_20150317_000169	{memo X}หัวขโมยทุกคนที่ลักลอบเข้าสู่ Mage Tower ได้ถูกเผาทั้งเป็นหมดทุกราย{nl}ข้าทิ้งสิ่งนี้ไว้เป็นอนุสรณ์เตือนใจแก่ผู้บุกรุกที่อยากจะลองดี{nl}- Agailla Flurry
QUEST_20150317_000170	Demon Queen Gesti
QUEST_20150317_000171	เจ้าพวกมนุษย์อวดดี
QUEST_20150317_000172	เจ้าคอยดูเถอะ เรื่องมันยังไม่จบแค่นี้หรอก{nl}จงสวดภาวนาเข้าไว้เถอะ ให้ Laima ช่วยโลกของเจ้าได้
QUEST_20150317_000173	Klaipeda Officer
QUEST_20150317_000174	{memo X}ยินดีต้อนรับ ยินดีตอนรับ{nl}Sir Uska กำลังคอยท่านอยู่ที่จตุรัสกลางแห่งเมือง Klaipeda{nl}อ้อ ท่านต้องการสิ่งใดก่อนจะไปหรือไม่?
QUEST_20150317_000175	ท่านต้องการจะมุ่งหน้าไปที่ประตูเมือง Klaipeda เลยหรือเปล่าล่ะ?
QUEST_20150317_000176	Temporary Operator
QUEST_20150317_000177	กรุณาเปลี่ยนสถานะของตัวละครตัวนี้
QUEST_20150317_000178	การตั้งค่า NPC HIDE/UNHIDE!	
QUEST_20150317_000179	Follower Algis
QUEST_20150317_000180	ข้าจะเล่าถึงช่วงเวลาขณะที่องค์เทพธิดาได้ทำนายถึง Paladin คนแรกให้เจ้าฟัง{nl}มาสิ  ถ้ามีข้อสงสัยอะไรก็ถามมาได้เลย
QUEST_20150317_000181	ในอดีตเนิ่นนานมาแล้ว มีชนเผ่าเร่ร่อนเผ่าหนึ่งที่ต้องทนทุกข์กับโรคระบาดที่เกิดจากคำสาป{nl}Paladin คนแรก ท่านได้ใช้ Holy Relic ชิ้นหนึ่งปัดเป่าคำสาปให้แก่พวกเขา  มันเป็นการกระทำที่น่าเลื่อมใส{nl}
QUEST_20150317_000182	และพวก Watcher ก็คือผู้สืบสายเลือดของชนเผ่าเร่ร่อนนั้น{nl}แต่อย่างไรก็ตาม  Holy Relic ชิ้นนั้นไม่ได้มีไว้สำหรับช่วยเหลือเยียวยาคนกลุ่มนั้น{nl}
QUEST_20150317_000183	วันหนึ่ง  ท่าน Paladin ได้รับคำขอร้องจากองค์เทพธิดา  นั่นทำให้เขาได้เห็นบางสิ่ง{nl}ในขณะที่เขากำลังคิดหาทางว่าจะปกปิดความลับนี้ยังไง ชนเผ่าเร่ร่อนก็ได้ปรากฏตัว พร้อมกับคำสาปที่ติดตัวมา{nl}
QUEST_20150317_000184	พวกเขาสร้างคำปฏิญาณร่วมกันขึ้นมา 3 ข้อ ก่อนที่จะทำการล้างคำสาป{nl}
QUEST_20150317_000185	จะช่วยกันสร้าง Tenet Chapel{nl}จะแอบซ่อน Holy Relic ไว้ในดินแดนนี้และเฝ้าดูเพื่อปกป้องมัน{nl}จะต่อสู้ร่วมกันเมื่อใดที่ภยันตรายกล้ำกราย{nl}
QUEST_20150317_000186	ทั้งหมดนี้เพื่อปกป้องคำทำนาย{memo Revelation}ขององค์เทพธิดาที่ถูกซ่อนไว้ภายใน Tenet Chapel
QUEST_20150317_000187	แรกเริ่มเดิมที  Holy Relic ถูกสร้างขึ้นเพื่อปกป้องข้อความนั้น{nl}จุดประสงค์ของมันคือ มีไว้เพื่อเป็นเหยื่อล่อราชินีปีศาจและทำลายนาง{nl}
QUEST_20150317_000188	แต่ไม่ว่าจะอะไรก็เกิดขึ้นได้{nl}ถ้าแผนนั้นล่ม ก็มีความเป็นไปได้มากว่าการศึกครั้งสุดท้ายจะเกิดขึ้นที่วิหารแห่งนี้
QUEST_20150317_000189	Pawndel
QUEST_20150317_000190	ไงพวก?
QUEST_20150317_000191	จริงง่ะ?
QUEST_20150317_000192	Pawnd
QUEST_20150317_000193	เกิดอะไรขึ้น?
QUEST_20150317_000194	Gesti บอกให้พวกเราปกป้องที่นี่
QUEST_20150317_000195	งั้นข้าจะทำยังไงต่อไปดี?
QUEST_20150317_000196	ใช่ที่นี่แน่รึเปล่า?
QUEST_20150317_000197	กำลังอธิบาย
QUEST_20150317_000198	{memo X}บอกรายละเอียดของชิ้นส่วนแห่งคำทำนายที่พบใน Crystal Mine
QUEST_20150317_000199	{memo X}ข้าไม่รู้หรอกนะว่าเมื่อก่อนเจ้าเก่งกาจยังไงและข้าก็ไม่สนด้วย{nl}แต่ที่นี่ทุกคนต้องทำตามคำสั่งของ Royal Army ไม่เว้นแม้แต่พวกเจ้า อัศวินแห่ง Kaliss{nl}ที่นี่ คำพูดของพวกเราคือกฎ!
QUEST_20150317_000200	Graverobber Hubertas
QUEST_20150317_000201	พออยู่แถวๆ ซากโบราณนี่นานๆ มันทำให้ข้ารู้สึกหลอนชิบเป๋ง {nl}ว่าแต่เจ้าหมอนั่นมันมาทำอะไรที่นี่กันฟะ?
QUEST_20150317_000202	Graverobber Benjaminas
QUEST_20150317_000203	{memo X}คนอื่นเรียกเราว่านักปล้นสุสาน  แต่เราชอบเรียกตัวเองว่านักโบราณคดีมากกว่า {nl}พวกเราขุดคุ้ยและหาประโยชน์จากสิ่งของที่ไม่มีใครใช้แล้วพวกนี้ {nl}ก็ดีกว่าปล่อยให้พวกมันสูญสลายกลายเป็นฝุ่นไปใช่มั้ยล่ะ?
QUEST_20150317_000204	A Citizen's Journal
QUEST_20150317_000205	{memo X}เป็นเวลากว่า 1 ปีมาแล้วหลังจากที่สงครามกลางเมืองปะทุขึ้น ราคาข้าวของในเมืองพุ่งสูงขึ้นพรวดพราด {nl}นายพล Ruklys ได้ส่งเสบียงมาช่วยเพิ่มให้กับเมืองของเราที่กำลังขาดแคลน {nl}เราไม่ได้รับข่าวดีแบบนี้มาพักใหญ่แล้ว  แต่ก็มีเสียงพูดต่อๆ กันว่าราชา Kadumel กำลังออกตามล่านายพลคนนั้น {nl}สถานการณ์คงไม่ดีขึ้นในเร็วๆ นี้แน่
QUEST_20150317_000206	A Sentry's Report
QUEST_20150317_000207	{memo X}ค่ายทหารและจุดเฝ้าระวังต่างๆ ได้รับการเพิ่มกำลังเพื่อเตรียมรับมือการโจมตีจากกองกำลังของ พระราชา Kadumel ที่มีการเคลื่อนไหวอยู่ในประเทศ {nl}เป็นที่แน่ชัดแล้วว่ากองกำลังของพระราชานั้นมีขนาดใหญ่มาก {nl}แต่ถ้าหากว่านายพล Hayatin สามารถรวบรวมกองกำลังอาสาสมัครได้มากพอ  ก็มีความเป็นไปได้ว่าพระราชาที่ไร้ความสามารถพระองค์นี้จะต้องยอมแพ้หรือหลบหนี
QUEST_20150317_000208	A Trader's Log
QUEST_20150317_000209	{memo X}อาหารและเสบียงของเมืองนี้ใกล้จะหมดลงแล้ว {nl}(ข้อความที่เหลือไม่สามารถอ่านออกได้)
QUEST_20150317_000210	{memo X}ข่าวลือสะพัดไปทั่วว่า นายพล Ruklys ได้รับรู้สึกสภาพแร้นแค้นที่ประชาชนกำลังเผชิญอยู่แล้ว {nl}และกำลังเจรจากับราชา Kadumel เพื่อขอพระราชทานอภัยโทษให้แก่พวกเขา
QUEST_20150317_000211	An Officer's Record
QUEST_20150317_000212	{memo X}อัครมหาเสนาบดี Eminent ได้พูดคุยกับนายพล Ruklys {nl}พวกเราอาจจะต้องย้ายไปที่ Great Earth Fortress และปล่อยให้กองกำลังของพระราชายึดเมืองไป {nl}อย่างน้อยนั่นก็เป็นข่าวดีสำหรับพลเรือนของพวกเรา  ถึงจะโดนยึดเมืองไปแต่ป้อมปราการนี้พวกเราจะไม่ยอมเสียไปง่ายๆ แน่
QUEST_20150317_000213	{memo X}ราชา Kadumel ยังคงตั้งมั่นกับการไล่ล่าพวกชาวเมือง {nl}อัครมหาเสนาบดีกำลังกดดันให้นายพล Ruklys ยอมเจรจาเกี่ยวกับเงื่อนไขบางอย่างแลกกับการการันตีความปลอดภัยของพวกพลเรือนจากกองทัพของศัตรู {nl}แม้จะมีกองกำลังขององค์ราชาปักหลักอยู่ในเมือง แต่จนถึงตอนนี้ก็ยังไม่มีการเคลื่อนไหวใดที่ดูเหมือนการข่มขู่
QUEST_20150317_000214	{memo X}เราควรจะรอให้ Kostas มาถึงซะก่อน {nl}เรายังมีอีกหลายเรื่องที่ต้องทำ มันจะดีมากหากเขาสามารถมาถึงที่นี่ได้ในเร็วๆ นี้
QUEST_20150317_000215	Cryomancer Kostas
QUEST_20150317_000216	{memo X}ทุกสิ่งจะคลี่คลายเมื่อสัญลักษณ์แห่งแพรไหมปรากฏ {nl}เมื่อมีมัน เราจะสามารถฟื้นคืนเมืองนี้
QUEST_20150317_000217	Graverobber Rudolpas
QUEST_20150317_000218	{memo X}Royal Army และอัศวินแห่ง Kaliss… ข้าคิดว่าเราเจอขุมทองเข้าซะแล้วว่ะ {nl}แถวนี้น่ะ ไม่มีใครเรียกที่นี่ว่าบ้านอีกต่อไปแล้ว
QUEST_20150317_000219	A Royal Officer's Record
QUEST_20150317_000220	{memo X}ไม่มีความคืบหน้าใดอีกเลยหลังจากที่กลุ่มของ Ruklys ถอยไปตั้งหลักอยู่ที่ Great Earth Fortress {nl}พวกนักบวชที่อยู่ภายใต้การบัญชาการของ Maven ก็ไม่เต็มใจที่จะสู้สักเท่าไหร่  และตอนนี้องค์ราชาได้จ้างพวกจอมเวทย์ให้เข้าร่วมศึกนี้โดยจ่ายค่าตอบแทนไปก้อนใหญ่ทีเดียว {nl}แต่พวกเราคิดว่าสถานการณ์ก็คงไม่เปลี่ยนไปเท่าไหร่แม้จะได้พวกเขามาร่วมก็ตาม
QUEST_20150317_000221	Townsperson's Document
QUEST_20150317_000222	{memo X}มันเกิดขึ้นได้ยังไงกัน?! {nl}Lydia Schaffen กำลังหนุนหลังกองทัพของราชา Kadumel!
QUEST_20150317_000223	Army Official's Report
QUEST_20150317_000224	{memo X}ข้าได้ยินจากข่าวลือว่า Lydia Schaffen มาที่เมืองนี้พร้อมกับผู้ติดตามของนาง {nl}พวกทหารและพวกระดับเจ้าหน้าที่คาดการณ์กันว่านางจะเป็นผู้ที่มาเปลี่ยนกระแสของศึกนี้ {nl}องค์ราชามีรับสั่งลงมาให้พวกเราให้ความร่วมมือและสนับสนุนนางให้ดีที่สุด
QUEST_20150317_000225	Citizen's Record
QUEST_20150317_000226	Great Earth Fortress ล่มสลายแล้ว! ทุกอย่าง มันจบสิ้นแล้ว…
QUEST_20150317_000227	{memo X}นายพล Ruklys จบชีวิตลงในสนามรบ และป้อมปราการก็ถูกศัตรูเข้ายึดครอง {nl}บ้างว่าท่านนายพลถูกสังหารโดยลูกธนูของ Lydia Schaffen  บ้างก็ว่าเขาถูกเวทย์มนตร์ของจอมเวทย์ขององค์ราชาปลิดชีวิต {nl}มันเป็นข่าวที่น่าเศร้าจริงๆ
QUEST_20150317_000228	{memo X}เพื่อเป็นการให้ความช่วยเหลือแก่อัศวินแห่ง Kaliss  ข้าจึงแยกตัวออกจากสาขาหลักมาอยู่ที่นี่ {nl}ถ้าเจ้ามีปัญหาหรือความกังวลใดล่ะก็ ขอให้ไปติดต่อสาขาหลักที่ตั้งอยู่ที่จตุรัสแห่งความเศร้า
QUEST_20150317_000229	{memo X}พวกระดับสูงของอัศวินแห่ง Kaliss ทุ่มทุนไปกับที่นี่มาก  ข้าไม่รู้ว่าควรจะรู้สึกกับเรื่องนี้อย่างไรดี {nl}แล้วที่แย่ไปกว่านั้น พวกนักปล้นสุสานก็มาที่นี่กันแล้ว เราก็เลยได้แต่รอความช่วยเหลือ
QUEST_20150317_000230	{memo X}จนถึงตอนนี้ ข้าเคยได้แค่เห็นร่างต้องสาปของผู้วายชนม์  แต่ในเมื่อตอนนี้ข้ามาอยู่ที่แล้ว มันจะไม่เป็นเช่นนั้นอีกต่อไป
QUEST_20150317_000231	{memo X}การถอนคำสาปให้เมืองนี้จะสามารถช่วยให้คนที่ตายไปแล้วกลับฟื้นคืนได้รึ? {nl}ข้าเกรงว่าไม่  แต่นายเหนือหัวของพวกเราเสียสละไปมากเพื่อจะได้พื้นที่นี้คืน {nl}พวกท่านทำทุกอย่างที่ทำได้เพื่อจุดประสงค์นี้
QUEST_20150317_000232	Graverobber Stephonas
QUEST_20150317_000233	{memo X}พวกเราต่างจากพวกอันธพาลพวกนั้น {nl}พวกนั้นมันไร้ศักดิ์ศรีและก็ไม่มีชั้นเชิงทางธุรกิจเอาซะเลย! {nl}ถ้าครั้งนี้เจ้าช่วยข้าล่ะก็ ข้าจะตอบแทนเจ้าคืนแน่ๆ
QUEST_20150317_000234	Kingdom Army Rofdel
QUEST_20150317_000235	{memo X}ท่านสามารถมองเห็นทุกสิ่งทุกอย่างที่เกิดขึ้นภายในเมืองได้จากหอสังเกตุการณ์นี้ อย่างกับว่าเวลาภายในเมืองนั้นหยุดนิ่ง {nl}ในช่วงเวลาที่ฝนตก ท่านจะสามารถมองเห็นไปถึงเส้นทางแห่ง Ruklys ได้เลยทีเดียว  แต่ถ้าเป็นเวลาปกติมันจะโดนบดบังโดยฝุ่นละออง
QUEST_20150317_000236	{memo X}เราทุ่มเทลงแรงมานับร้อยปีเพื่อฟื้นฟูเศษซากอารยธรรมนี้ {nl}ด้วยความช่วยเหลือจากเจ้า เราอาจจะสามารถเรียนรู้เกี่ยวกับวันนั้นและบรรลุจุดมุ่งหมายของเราในที่สุด
QUEST_20150317_000237	Bokor Edita
QUEST_20150317_000238	{memo X}ที่นี่ต้องมีคำสาปอยู่แน่ ข้ามั่นใจ
QUEST_20150317_000239	Alchemist Saliamonas
QUEST_20150317_000240	{memo X}สถานที่นี้มันน่าสนใจจริงๆ  เมืองนี้เต็มไปด้วยมีสิ่งที่รอให้เราไปเรียนรู้และทดลอง
QUEST_20150317_000241	Graverobber Amanda
QUEST_20150317_000242	ครอบครัวของพวกเราน่ะไม่เหมือนกับเจ้าพวกโจรปล้นสุสานพวกนั้นหรอกนะ {nl}ถึงจะมีบิดเบือนกฎเพื่อผลประโยชน์ของตัวเราเองบ้างก็เถอะ…
QUEST_20150317_000243	{memo X}พวกทหารตายหมดแล้วงั้นเหรอ? {nl}ข้าไม่เคยเห็นอัญมณีฟรอสต์สโตนที่แปลกประหลายเท่านี้มาก่อนเลย {nl}มันเหมือนกับว่าทุกคนในเมืองพยายามซ่อนบางสิ่งด้วยการทำให้เกิดเหตุการณ์ในวันนั้นขึ้นอีกครั้ง
QUEST_20150317_000244	การเคลื่อนที่ด้วยความเร็วสูง
QUEST_20150317_000245	Torn Letter
QUEST_20150317_000246	ถึงพี่ชายอันเป็นที่รัก  ตอนนี้ที่ Fedimian…
QUEST_20150317_000247	Gesti รับรู้ถึงมันแล้ว {nl}ใจเย็นไว้ก่อน มันยังไม่ถึงเวลา
QUEST_20150317_000248	Off-duty Supply Trooper
QUEST_20150317_000249	ข้าไม่รู้นะว่าพวกในวังกำลังทำอะไรกันอยู่ {nl}แต่ได้ยินมาว่าพวกขุนนางน่ะหลบหนีออกจากเมืองไปแล้ว
QUEST_20150317_000250	ในเวลาแบบนี้น่ะ ให้ใช้ของที่เจ้าทำขึ้นเองจะดีกว่าไปหาซื้อเอา {nl}เดิมทีข้าเป็นทหารในหน่วยเสบียงมาก่อน แต่งานนั้นมันแทบไม่ต่างอะไรจากช่างตีดาบเลย
QUEST_20150317_000251
QUEST_20150317_000252
QUEST_20150317_000253
QUEST_20150317_000254
QUEST_20150317_000255
QUEST_20150317_000256
QUEST_20150317_000257
QUEST_20150317_000258
QUEST_20150317_000259
QUEST_20150317_000260
QUEST_20150317_000261
QUEST_20150317_000262
QUEST_20150317_000263
QUEST_20150317_000264
QUEST_20150317_000265
QUEST_20150317_000266
QUEST_20150317_000267
QUEST_20150317_000268
QUEST_20150317_000269
QUEST_20150317_000270
QUEST_20150317_000271
QUEST_20150317_000272
QUEST_20150317_000273
QUEST_20150317_000274
QUEST_20150317_000275
QUEST_20150317_000276
QUEST_20150317_000277
QUEST_20150317_000278
QUEST_20150317_000279
QUEST_20150317_000280
QUEST_20150317_000281
QUEST_20150317_000282
QUEST_20150317_000283
QUEST_20150317_000284
QUEST_20150317_000285
QUEST_20150317_000286
QUEST_20150317_000287
QUEST_20150317_000288
QUEST_20150317_000289
QUEST_20150317_000290
QUEST_20150317_000291
QUEST_20150317_000292
QUEST_20150317_000293
QUEST_20150317_000294
QUEST_20150317_000295
QUEST_20150317_000296
QUEST_20150317_000297
QUEST_20150317_000298
QUEST_20150317_000299
QUEST_20150317_000300
QUEST_20150317_000301
QUEST_20150317_000302
QUEST_20150317_000303
QUEST_20150317_000304
QUEST_20150317_000305
QUEST_20150317_000306
QUEST_20150317_000307
QUEST_20150317_000308
QUEST_20150317_000309
QUEST_20150317_000310
QUEST_20150317_000311
QUEST_20150317_000312
QUEST_20150317_000313
QUEST_20150317_000314
QUEST_20150317_000315
QUEST_20150317_000316
QUEST_20150317_000317
QUEST_20150317_000318
QUEST_20150317_000319
QUEST_20150317_000320
QUEST_20150317_000321
QUEST_20150317_000322
QUEST_20150317_000323
QUEST_20150317_000324
QUEST_20150317_000325
QUEST_20150317_000326
QUEST_20150317_000327
QUEST_20150317_000328
QUEST_20150317_000329
QUEST_20150317_000330
QUEST_20150317_000331
QUEST_20150317_000332
QUEST_20150317_000333
QUEST_20150317_000334
QUEST_20150317_000335
QUEST_20150317_000336
QUEST_20150317_000337
QUEST_20150317_000338
QUEST_20150317_000339
QUEST_20150317_000340
QUEST_20150317_000341
QUEST_20150317_000342
QUEST_20150317_000343
QUEST_20150317_000344
QUEST_20150317_000345
QUEST_20150317_000346
QUEST_20150317_000347
QUEST_20150317_000348
QUEST_20150317_000349
QUEST_20150317_000350
QUEST_20150317_000351
QUEST_20150317_000352
QUEST_20150317_000353
QUEST_20150317_000354
QUEST_20150317_000355
QUEST_20150317_000356
QUEST_20150317_000357
QUEST_20150317_000358
QUEST_20150317_000359
QUEST_20150317_000360
QUEST_20150317_000361
QUEST_20150317_000362
QUEST_20150317_000363
QUEST_20150317_000364
QUEST_20150317_000365
QUEST_20150317_000366
QUEST_20150317_000367
QUEST_20150317_000368
QUEST_20150317_000369
QUEST_20150317_000370
QUEST_20150317_000371
QUEST_20150317_000372
QUEST_20150317_000373
QUEST_20150317_000374
QUEST_20150317_000375
QUEST_20150317_000376
QUEST_20150317_000377
QUEST_20150317_000378
QUEST_20150317_000379
QUEST_20150317_000380
QUEST_20150317_000381
QUEST_20150317_000382
QUEST_20150317_000383
QUEST_20150317_000384
QUEST_20150317_000385
QUEST_20150317_000386
QUEST_20150317_000387
QUEST_20150317_000388
QUEST_20150317_000389
QUEST_20150317_000390
QUEST_20150317_000391
QUEST_20150317_000392
QUEST_20150317_000393
QUEST_20150317_000394
QUEST_20150317_000395
QUEST_20150317_000396
QUEST_20150317_000397
QUEST_20150317_000398
QUEST_20150317_000399
QUEST_20150317_000400
QUEST_20150317_000401
QUEST_20150317_000402
QUEST_20150317_000403
QUEST_20150317_000404
QUEST_20150317_000405
QUEST_20150317_000406
QUEST_20150317_000407
QUEST_20150317_000408
QUEST_20150317_000409
QUEST_20150317_000410
QUEST_20150317_000411
QUEST_20150317_000412
QUEST_20150317_000413
QUEST_20150317_000414
QUEST_20150317_000415
QUEST_20150317_000416
QUEST_20150317_000417
QUEST_20150317_000418
QUEST_20150317_000419
QUEST_20150317_000420
QUEST_20150317_000421
QUEST_20150317_000422
QUEST_20150317_000423
QUEST_20150317_000424
QUEST_20150317_000425
QUEST_20150317_000426
QUEST_20150317_000427
QUEST_20150317_000428
QUEST_20150317_000429
QUEST_20150317_000430
QUEST_20150317_000431
QUEST_20150317_000432
QUEST_20150317_000433
QUEST_20150317_000434
QUEST_20150317_000435
QUEST_20150317_000436
QUEST_20150317_000437
QUEST_20150317_000438
QUEST_20150317_000439
QUEST_20150317_000440
QUEST_20150317_000441
QUEST_20150317_000442
QUEST_20150317_000443
QUEST_20150317_000444
QUEST_20150317_000445
QUEST_20150317_000446
QUEST_20150317_000447
QUEST_20150317_000448
QUEST_20150317_000449
QUEST_20150317_000450
QUEST_20150317_000451
QUEST_20150317_000452
QUEST_20150317_000453
QUEST_20150317_000454
QUEST_20150317_000455
QUEST_20150317_000456
QUEST_20150317_000457
QUEST_20150317_000458
QUEST_20150317_000459
QUEST_20150317_000460
QUEST_20150317_000461
QUEST_20150317_000462
QUEST_20150317_000463
QUEST_20150317_000464
QUEST_20150317_000465
QUEST_20150317_000466
QUEST_20150317_000467
QUEST_20150317_000468
QUEST_20150317_000469
QUEST_20150317_000470
QUEST_20150317_000471
QUEST_20150317_000472
QUEST_20150317_000473
QUEST_20150317_000474
QUEST_20150317_000475
QUEST_20150317_000476
QUEST_20150317_000477
QUEST_20150317_000478
QUEST_20150317_000479
QUEST_20150317_000480
QUEST_20150317_000481
QUEST_20150317_000482
QUEST_20150317_000483
QUEST_20150317_000484
QUEST_20150317_000485
QUEST_20150317_000486
QUEST_20150317_000487
QUEST_20150317_000488
QUEST_20150317_000489
QUEST_20150317_000490
QUEST_20150317_000491
QUEST_20150317_000492
QUEST_20150317_000493
QUEST_20150317_000494
QUEST_20150317_000495
QUEST_20150317_000496
QUEST_20150317_000497
QUEST_20150317_000498
QUEST_20150317_000499
QUEST_20150317_000500
QUEST_20150317_000501
QUEST_20150317_000502
QUEST_20150317_000503
QUEST_20150317_000504
QUEST_20150317_000505
QUEST_20150317_000506
QUEST_20150317_000507
QUEST_20150317_000508
QUEST_20150317_000509
QUEST_20150317_000510
QUEST_20150317_000511
QUEST_20150317_000512
QUEST_20150317_000513
QUEST_20150317_000514
QUEST_20150317_000515
QUEST_20150317_000516
QUEST_20150317_000517
QUEST_20150317_000518
QUEST_20150317_000519
QUEST_20150317_000520
QUEST_20150317_000521
QUEST_20150317_000522
QUEST_20150317_000523
QUEST_20150317_000524
QUEST_20150317_000525
QUEST_20150317_000526
QUEST_20150317_000527
QUEST_20150317_000528
QUEST_20150317_000529
QUEST_20150317_000530
QUEST_20150317_000531
QUEST_20150317_000532
QUEST_20150317_000533
QUEST_20150317_000534
QUEST_20150317_000535
QUEST_20150317_000536
QUEST_20150317_000537
QUEST_20150317_000538
QUEST_20150317_000539
QUEST_20150317_000540
QUEST_20150317_000541
QUEST_20150317_000542
QUEST_20150317_000543
QUEST_20150317_000544
QUEST_20150317_000545
QUEST_20150317_000546
QUEST_20150317_000547
QUEST_20150317_000548
QUEST_20150317_000549
QUEST_20150317_000550
QUEST_20150317_000551
QUEST_20150317_000552
QUEST_20150317_000553
QUEST_20150317_000554
QUEST_20150317_000555
QUEST_20150317_000556
QUEST_20150317_000557
QUEST_20150317_000558
QUEST_20150317_000559
QUEST_20150317_000560
QUEST_20150317_000561
QUEST_20150317_000562
QUEST_20150317_000563
QUEST_20150317_000564
QUEST_20150317_000565
QUEST_20150317_000566
QUEST_20150317_000567
QUEST_20150317_000568
QUEST_20150317_000569
QUEST_20150317_000570
QUEST_20150317_000571
QUEST_20150317_000572
QUEST_20150317_000573
QUEST_20150317_000574
QUEST_20150317_000575
QUEST_20150317_000576
QUEST_20150317_000577
QUEST_20150317_000578
QUEST_20150317_000579
QUEST_20150317_000580
QUEST_20150317_000581
